,0
0,1928.0
1,1932.0
2,1933.0
3,1937.0
4,1950.0
5,1954.0
6,1956.0
7,1960.0
8,1964.0
9,1965.0
10,1968.0
11,1969.0
12,1970.0
13,1972.0
14,1973.0
15,1974.0
16,1975.0
17,1977.0
18,1978.0
19,1979.0
20,1980.0
21,1981.0
22,1982.0
23,1983.0
24,1984.0
25,1985.0
26,1986.0
27,1987.0
28,1988.0
29,1989.0
30,1990.0
31,1991.0
32,1992.0
33,1993.0
34,1994.0
35,1995.0
36,1996.0
37,1997.0
38,1998.0
39,1999.0
40,2000.0
41,2001.0
42,2002.0
43,2003.0
44,2004.0
45,2005.0
46,2006.0
47,2007.0
48,2008.0
49,2009.0
50,2010.0
51,2011.0
52,2012.0
53,2013.0
54,2014.0
55,2015.0
56,2016.0
57,2017.0
58,2018.0
59,2019.0
60,2020.0
61,2021.0
62,2022.0
63,2023.0
