COUNTY_NAME,COBCODE,county_elev_std
JOSEPHINE,OR033,67.08289239756809
CURRY,OR015,57.45448778116594
JACKSON,OR029,48.35191217161651
COOS,OR011,45.48929265902532
KLAMATH,OR035,25.18834697722973
LAKE,OR037,22.58616300377925
DOUGLAS,OR019,54.001366360399146
HARNEY,OR025,23.937815455745845
LANE,OR039,53.74615842508695
DESCHUTES,OR017,19.714454651910163
MALHEUR,OR045,24.49988518201964
CROOK,OR013,26.576719492971034
BENTON,OR003,37.549524870803
LINN,OR043,48.9340552696069
JEFFERSON,OR031,35.85452530376212
GRANT,OR023,41.43249938199289
LINCOLN,OR041,41.664312193252144
WHEELER,OR069,41.37326544304755
POLK,OR053,35.682816669319365
BAKER,OR001,44.534349973902984
MARION,OR047,46.293569920601996
YAMHILL,OR071,29.944997134655992
CLACKAMAS,OR005,49.17495604852876
WASCO,OR065,35.12573876744142
HOOD RIVER,OR027,58.77897968572965
MULTNOMAH,OR051,40.72811419736254
SHERMAN,OR055,34.91592916448113
WASHINGTON,OR067,29.806651220761935
TILLAMOOK,OR057,53.847096746341194
GILLIAM,OR021,33.055607053777976
UNION,OR061,41.25254200149421
MORROW,OR049,24.431512688391468
WALLOWA,OR063,62.95154716218636
UMATILLA,OR059,35.29124603946917
COLUMBIA,OR009,26.084261237355896
CLATSOP,OR007,31.037210684901698
